GROUP,NAME,HEX,r,g,b
Blue,cornflowerblue,#6495ed,100,149,237
Blue,darkblue,#00008b,0,0,139
Blue,deepskyblue,#00bfff,0,191,255
Blue,dodgerblue,#1e90ff,30,144,255
Blue,lightblue,#add8e6,173,216,230
Blue,lightskyblue,#87cefa,135,206,250
Blue,lightsteelblue,#b0c4de,176,196,222
Blue,mediumblue,#0000cd,0,0,205
Blue,midnightblue,#191970,25,25,112
Blue,powderblue,#b0e0e6,176,224,230
Blue,royalblue,#4169e1,65,105,225
Blue,skyblue,#87ceeb,135,206,235
Blue,steelblue,#4682b4,70,130,180
Blue,navy,#000080,0,0,128
Blue,blue,#0000ff,0,0,255
Brown,bisque,#ffe4c4,255,228,196
Brown,blanchedalmond,#ffebcd,255,235,205
Brown,brown,#a52a2a,165,42,42
Brown,burlywood,#deb887,222,184,135
Brown,chocolate,#d2691e,210,105,30
Brown,cornsilk,#fff8dc,255,248,220
Brown,darkgoldenrod,#b8860b,184,134,11
Brown,goldenrod,#daa520,218,165,32
Brown,navajowhite,#ffdead,255,222,173
Brown,peru,#cd853f,205,133,63
Brown,rosybrown,#bc8f8f,188,143,143
Brown,saddlebrown,#8b4513,139,69,19
Brown,sandybrown,#f4a460,244,164,96
Brown,sienna,#a0522d,160,82,45
Brown,tan,#d2b48c,210,180,140
Brown,wheat,#f5deb3,245,222,179
Brown,maroon,#800000,128,0,0
Cyan,aquamarine,#7fffd4,127,255,212
Cyan,cadetblue,#5f9ea0,95,158,160
Cyan,cyan,#00ffff,0,255,255
Cyan,aqua,#00ffff,0,255,255
Cyan,darkcyan,#008b8b,0,139,139
Cyan,darkturquoise,#00ced1,0,206,209
Cyan,lightcyan,#e0ffff,224,255,255
Cyan,lightseagreen,#20b2aa,32,178,170
Cyan,mediumturquoise,#48d1cc,72,209,204
Cyan,paleturquoise,#afeeee,175,238,238
Cyan,turquoise,#40e0d0,64,224,208
Cyan,teal,#008080,0,128,128
Gray_Black,darkgray,#a9a9a9,169,169,169
Gray_Black,darkslategray,#2f4f4f,47,79,79
Gray_Black,dimgray,#696969,105,105,105
Gray_Black,gainsboro,#dcdcdc,220,220,220
Gray_Black,gray,#808080,128,128,128
Gray_Black,lightgray,#d3d3d3,211,211,211
Gray_Black,lightslategray,#778899,119,136,153
Gray_Black,slategray,#708090,112,128,144
Gray_Black,black,#000000,0,0,0
Gray_Black,silver,#c0c0c0,192,192,192
Green,chartreuse,#7fff00,127,255,0
Green,darkgreen,#006400,0,100,0
Green,darkolivegreen,#556b2f,85,107,47
Green,darkseagreen,#8fbc8f,143,188,143
Green,forestgreen,#228b22,34,139,34
Green,greenyellow,#adff2f,173,255,47
Green,lawngreen,#7cfc00,124,252,0
Green,lightgreen,#90ee90,144,238,144
Green,limegreen,#32cd32,50,205,50
Green,mediumaquamarine,#66cdaa,102,205,170
Green,mediumseagreen,#3cb371,60,179,113
Green,mediumspringgreen,#00fa9a,0,250,154
Green,olivedrab,#6b8e23,107,142,35
Green,palegreen,#98fb98,152,251,152
Green,seagreen,#2e8b57,46,139,87
Green,springgreen,#00ff7f,0,255,127
Green,yellowgreen,#9acd32,154,205,50
Green,green,#008000,0,128,0
Green,lime,#00ff00,0,255,0
Green,olive,#808000,128,128,0
Orange,coral,#ff7f50,255,127,80
Orange,darkorange,#ff8c00,255,140,0
Orange,orangered,#ff4500,255,69,0
Orange,tomato,#ff6347,255,99,71
Orange,orange,#ffa500,255,165,0
Pink,deeppink,#ff1493,255,20,147
Pink,hotpink,#ff69b4,255,105,180
Pink,lightpink,#ffb6c1,255,182,193
Pink,mediumvioletred,#c71585,199,21,133
Pink,palevioletred,#db7093,219,112,147
Pink,pink,#ffc0cb,255,192,203
Purple,blueviolet,#8a2be2,138,43,226
Purple,darkmagenta,#8b008b,139,0,139
Purple,darkorchid,#9932cc,153,50,204
Purple,darkslateblue,#483d8b,72,61,139
Purple,darkviolet,#9400d3,148,0,211
Purple,indigo,#4b0082,75,0,130
Purple,lavender,#e6e6fa,230,230,250
Purple,magenta,#ff00ff,255,0,255
Purple,fuchsia,#ff00ff,255,0,255
Purple,mediumorchid,#ba55d3,186,85,211
Purple,mediumpurple,#9370db,147,112,219
Purple,mediumslateblue,#7b68ee,123,104,238
Purple,orchid,#da70d6,218,112,214
Purple,plum,#dda0dd,221,160,221
Purple,slateblue,#6a5acd,106,90,205
Purple,thistle,#d8bfd8,216,191,216
Purple,violet,#ee82ee,238,130,238
Purple,purple,#800080,128,0,128
Red,crimson,#dc143c,220,20,60
Red,darkred,#8b0000,139,0,0
Red,darksalmon,#e9967a,233,150,122
Red,firebrick,#b22222,178,34,34
Red,indianred,#cd5c5c,205,92,92
Red,lightcoral,#f08080,240,128,128
Red,lightsalmon,#ffa07a,255,160,122
Red,salmon,#fa8072,250,128,114
Red,red,#ff0000,255,0,0
White,aliceblue,#f0f8ff,240,248,255
White,antiquewhite,#faebd7,250,235,215
White,azure,#f0ffff,240,255,255
White,beige,#f5f5dc,245,245,220
White,floralwhite,#fffaf0,255,250,240
White,ghostwhite,#f8f8ff,248,248,255
White,honeydew,#f0fff0,240,255,240
White,ivory,#fffff0,255,255,240
White,lavenderblush,#fff0f5,255,240,245
White,linen,#faf0e6,250,240,230
White,mintcream,#f5fffa,245,255,250
White,mistyrose,#ffe4e1,255,228,225
White,oldlace,#fdf5e6,253,245,230
White,seashell,#fff5ee,255,245,238
White,snow,#fffafa,255,250,250
White,whitesmoke,#f5f5f5,245,245,245
White,white,#ffffff,255,255,255
Yellow,darkkhaki,#bdb76b,189,183,107
Yellow,gold,#ffd700,255,215,0
Yellow,khaki,#f0e68c,240,230,140
Yellow,lemonchiffon,#fffacd,255,250,205
Yellow,lightgoldenrodyellow,#fafad2,250,250,210
Yellow,lightyellow,#ffffe0,255,255,224
Yellow,moccasin,#ffe4b5,255,228,181
Yellow,palegoldenrod,#eee8aa,238,232,170
Yellow,papayawhip,#ffefd5,255,239,213
Yellow,peachpuff,#ffdab9,255,218,185
Yellow,yellow,#ffff00,255,255,0
